# WELL TRACE FROM PETREL
# WELL NAME: DEL-GT-02-S2
# WELL HEAD X-COORDINATE: 85099.827 (m)
# WELL HEAD Y-COORDINATE: 446162.627 (m)
#====================================================
MD	X	Y	Z
1288.3	85149.7550608034	446392.736372654	1225.89278159838
1295.15	85150.6135803815	446396.658691073	1231.44244587337
1302	85151.4630847918	446400.614119969	1236.96995037237
1309.1	85152.3339341722	446404.748859646	1242.67549383882
1316.2	85153.1948084586	446408.919174034	1248.35660436029
1325.46666666667	85154.3124992345	446414.405749778	1255.74005579182
1334.73333333333	85155.4314324341	446419.933184415	1263.09277644776
1344	85156.551573976	446425.501309579	1270.41454236859
1357.85	85158.2087065687	446433.88299852	1281.31474194007
1371.7	85159.829959754	446442.322947495	1292.1753056117
1380.96666666667	85160.9100422135	446448.038629181	1299.38849220878
1390.23333333333	85162.0047069989	446453.852197562	1306.52078829093
1399.5	85163.1137458236	446459.762546444	1313.57083675686
1408.73333333333	85164.2305493686	446465.720472136	1320.53543292091
1417.96666666667	85165.356650051	446471.720232154	1327.46251327723
1427.2	85166.4920050193	446477.761598174	1334.35181422727
1441.1	85168.2271453243	446486.883470922	1344.69493593851
1455	85170.0003076834	446495.997109479	1355.03886797007
1468.9	85171.7984814156	446505.103579137	1365.38480140794
1482.8	85173.6086638652	446514.203986788	1375.73397454944
1496.7	85175.4409335356	446523.297185882	1386.08559335366
1510.6	85177.3053630933	446532.382001161	1396.43883106453
1524.5	85179.1913245466	446541.453161209	1406.80014163103
1538.4	85181.0881925119	446550.505407805	1417.17599394488
1552.3	85183.0074682939	446559.544572832	1427.55912635887
1566.2	85184.960649696	446568.576472175	1437.94225877286
1580.1	85186.9393416983	446577.594948377	1448.33222854154
1594	85188.9351514427	446586.593854628	1458.73588513844
1607.9	85190.960763557	446595.57675193	1469.14761026513
1621.8	85193.0288547875	446604.547167216	1479.5617459622
1635.65	85195.0938289527	446613.493615384	1489.93040279954
1649.5	85197.1251183712	446622.469090332	1500.28060876695
1658.76666666667	85198.4446615933	446628.489882836	1507.19979191096
1668.03333333333	85199.7076425802	446634.522228573	1514.11946796358
1677.3	85200.9140123052	446640.565893372	1521.0393683104
1691.1	85202.6328791175	446649.580733576	1531.34507150204
1704.9	85204.2807292075	446658.607910904	1541.65157558181
1714.1	85205.3319706743	446664.635536094	1548.52164793118
1723.3	85206.3359069816	446670.673947831	1555.38932290995
1732.5	85207.2925101353	446676.72297773	1562.25440901444
1739.45	85207.9820247908	446681.295440225	1567.44256712609
1746.4	85208.6410277172	446685.865534702	1572.63677423404
1760.2	85209.924653381	446694.949968019	1582.94478432019
1774	85211.219079274	446704.059186981	1593.22954141524
1787.8	85212.5231074555	446713.187418641	1603.49621372401
1801.6	85213.8355438479	446722.328917384	1613.75000043438
1812.3	85214.8160134293	446729.426467127	1621.69648989842
1823	85215.7156398009	446736.532619042	1629.6448550472
1826.15	85215.9650948144	446738.626152836	1631.98512120164
1829.3	85216.2075825504	446740.72029947	1634.32557134651
1843.15	85217.274618911	446749.941799149	1644.60356908208
